State or other jurisdiction,Year,Value,Type
Maine,2006,6.5,Minimum Wage
Maryland,2006,5.15,Minimum Wage
Massachusetts,2006,6.75,Minimum Wage
Michigan,2006,5.15,Minimum Wage
Minnesota,2006,6.15,Minimum Wage
Mississippi,2006,...,Minimum Wage
Missouri,2006,5.15,Minimum Wage
Montana,2006,5.15,Minimum Wage
Nebraska,2006,5.15,Minimum Wage
Nevada,2006,5.15,Minimum Wage
New Hampshire,2006,5.15,Minimum Wage
New Jersey,2006,6.15,Minimum Wage
New Mexico,2006,5.15,Minimum Wage
New York,2006,6.75,Minimum Wage
North Carolina,2006,5.15,Minimum Wage
North Dakota,2006,5.15,Minimum Wage
Ohio,2006,4.25,Minimum Wage
Oklahoma,2006,5.15,Minimum Wage
Oregon,2006,7.5,Minimum Wage
Pennsylvania,2006,5.15,Minimum Wage
Rhode Island,2006,6.75,Minimum Wage
South Carolina,2006,...,Minimum Wage
South Dakota,2006,5.15,Minimum Wage
Tennessee,2006,...,Minimum Wage
Texas,2006,5.15,Minimum Wage
Utah,2006,5.15,Minimum Wage
Vermont,2006,7.25,Minimum Wage
Virginia,2006,5.15,Minimum Wage
Washington,2006,7.63,Minimum Wage
West Virginia,2006,5.15,Minimum Wage
Wisconsin,2006,5.7,Minimum Wage
Wyoming,2006,5.15,Minimum Wage
District of Columbia,2006,7,Minimum Wage
